#time	x	y	parity	Id
#time stamps of events with x = y = par = id =-1 have us since epoch as timestamp for synching reasons
#the corresponding DVS timestamp is the one BEFORE the epoch time event
1456322238212587	-1	-1	-1	-1
1456322263756346	-1	-1	-1	-1
26397962	120	93	1	1	
26399364	60	4	0	1	
26401326	35	31	1	0	
26401779	123	46	0	1	
26402481	102	48	0	0	
26411190	2	53	1	1	
26412126	123	45	0	1	
26412276	121	42	0	1	
26414086	42	0	1	1	
26415425	115	71	0	0	
26417938	92	45	0	1	
26418073	51	123	1	0	
26418783	93	92	0	1	
26420634	17	46	1	1	
26422665	59	49	0	1	
26422869	114	84	0	0	
26424341	60	95	0	1	
26430844	34	86	0	0	
26435340	21	12	1	1	
26435570	86	126	1	1	
26436427	60	95	1	1	
1456322264659226	-1	-1	-1	-1
26436428	60	95	1	1	
26437354	39	124	0	0	
26437588	41	14	0	1	
26438900	115	84	0	0	
26439042	13	114	0	0	
26439043	13	114	0	0	
26444863	17	36	0	1	
26446303	34	85	0	0	
26446592	12	113	0	0	
26446964	77	53	0	0	
26447271	35	86	0	0	
26447345	114	85	0	0	
26449163	103	52	0	0	
26449226	26	34	0	0	
26452579	109	36	1	0	
26455186	12	114	1	0	
26461972	58	77	0	0	
26462436	65	70	0	0	
26463547	65	121	1	0	
26463562	65	70	1	0	
26471224	13	68	0	1	
26471613	5	95	1	1	
26471827	84	123	0	1	
26472715	125	65	0	0	
26474947	101	77	0	0	
26475783	3	111	0	1	
26476341	75	101	0	1	
26478065	58	80	0	0	
26478510	1	112	0	1	
26479250	20	30	1	0	
26479359	1	33	1	1	
26481391	0	112	0	1	
26484621	4	5	0	1	
26487504	87	98	0	0	
26490895	0	111	0	1	
26491441	103	57	0	1	
26492022	34	55	1	0	
26492203	102	56	0	1	
26492206	27	33	0	0	
26492731	21	112	0	1	
26493936	115	56	0	1	
26495750	95	110	1	1	
26495860	31	54	1	0	
26496937	72	61	0	0	
26505148	127	125	0	1	
26506968	35	86	1	0	
26511362	58	95	1	1	
26513692	121	86	0	0	
26513987	96	74	0	1	
26514544	76	76	0	1	
26518941	1	111	0	1	
26525552	121	57	0	1	
26527490	119	49	0	0	
26527552	0	23	0	1	
26527553	0	23	0	1	
1456322264759805	-1	-1	-1	-1
26528095	100	127	0	1	
26528329	70	73	0	0	
26532363	60	31	0	0	
26534187	120	87	0	0	
26534950	27	63	1	0	
26539642	12	5	0	0	
26539643	12	5	0	0	
26543655	47	34	0	1	
26543866	56	125	1	0	
26548627	59	95	1	1	
26555111	121	55	0	0	
26555977	92	34	0	1	
26561386	74	1	0	0	
26562457	102	90	0	0	
26562810	39	122	0	1	
26563085	124	123	1	0	
26566459	54	84	0	1	
26567251	109	76	0	1	
26569222	111	14	0	1	
26582612	111	13	0	1	
26584520	21	29	0	0	
26584521	21	29	0	0	
26585054	21	28	0	0	
26585218	111	12	0	1	
26585594	109	15	0	1	
26586333	20	28	0	0	
26592812	110	14	0	1	
26595100	36	28	1	1	
26597129	12	68	1	1	
26598363	70	74	0	1	
26599432	85	119	0	1	
26599849	62	52	0	1	
26600738	27	32	0	0	
26602443	64	6	0	1	
26603130	66	67	0	0	
26605610	80	50	0	0	
26607265	84	119	0	1	
26607521	83	120	0	1	
26608644	65	6	0	1	
26609927	62	35	0	1	
26614374	85	120	0	1	
26616118	52	79	0	0	
26616286	75	47	0	1	
26616412	83	121	0	1	
26617335	111	13	1	1	
26617337	111	13	1	1	
26617745	84	120	0	1	
26618479	85	120	1	1	
26618480	85	120	1	1	
26621185	9	108	1	0	
26621329	84	121	0	1	
26621842	76	92	0	0	
26624079	40	109	0	1	
26624081	40	109	0	1	
26624932	105	87	0	0	
26625313	75	94	0	0	
26626987	23	106	0	0	
26627479	22	106	0	0	
26628795	105	86	0	0	
26630017	2	111	0	1	
26633601	64	7	0	1	
26634033	5	5	0	1	
26634037	5	5	0	1	
26634881	1	111	1	1	
26636196	106	85	0	1	
26638711	103	86	0	0	
1456322264860357	-1	-1	-1	-1
26639083	85	119	1	1	
26639240	102	86	0	0	
26640700	121	64	0	0	
26644264	110	13	1	1	
26644265	110	13	1	1	
26646172	96	118	1	0	
26647004	65	7	0	1	
26651315	112	0	1	0	
26651748	87	98	0	1	
26660050	22	31	1	0	
26660225	65	7	1	1	
26660238	82	50	0	1	
26660633	24	27	0	1	
26663577	82	119	0	1	
26664229	89	99	0	0	
26666754	73	64	0	0	
26667172	64	35	0	1	
26667232	64	6	1	1	
26667403	73	108	0	1	
26667551	72	109	0	1	
26667928	72	108	0	1	
26668122	3	45	0	1	
26668123	3	45	0	1	
26671212	83	119	0	1	
26671557	2	45	0	1	
26671559	2	45	0	1	
26671678	23	106	1	0	
26671679	23	106	1	0	
26675015	3	43	0	1	
26678186	98	78	0	0	
26678424	24	22	0	1	
26678425	24	22	0	1	
26679992	49	118	1	0	
26681652	25	27	0	1	
26682403	77	22	0	0	
26682405	77	22	0	0	
26682721	3	45	1	1	
26682722	3	45	1	1	
26685443	122	66	0	1	
26685686	83	119	1	1	
26687930	2	45	1	1	
26688430	25	71	0	1	
26691759	102	86	1	0	
26692849	66	65	0	1	
26695188	121	59	0	0	
26695288	64	7	1	1	
26696097	98	11	1	1	
26696427	17	60	0	0	
26696717	60	31	1	0	
26696804	70	52	0	1	
26697373	91	57	0	0	
26703448	17	59	0	0	
26706684	125	87	0	0	
26713321	55	46	0	0	
26713686	67	6	0	1	
26715205	70	86	0	1	
26715617	72	86	0	1	
26715618	72	86	0	1	
26716282	56	36	0	1	
26717722	4	127	1	1	
26717723	4	127	1	1	
26717905	49	83	0	1	
26718448	47	86	0	1	
26718958	48	86	0	1	
26719890	0	125	1	1	
26719891	0	125	1	1	
26720492	59	27	1	1	
26721578	26	105	0	1	
26721579	26	105	0	1	
26721789	49	86	0	1	
26722719	54	100	0	0	
26724760	58	80	0	1	
26725212	5	127	1	1	
26725213	5	127	1	1	
26725377	55	100	0	0	
26725390	60	86	0	1	
26726277	53	86	0	1	
26727520	46	86	0	1	
26727521	46	86	0	1	
26727616	2	126	1	1	
26727618	2	126	1	1	
26728290	76	22	0	0	
26728598	18	7	1	1	
26728660	54	86	0	1	
26729108	76	86	0	1	
26729489	1	112	1	1	
26729728	77	28	1	1	
26730538	91	99	0	0	
26730937	29	91	1	0	
26731197	56	99	0	0	
26731263	91	41	1	0	
26731494	49	45	0	1	
26732488	66	4	0	1	
26732660	121	87	0	0	
26732868	98	0	1	0	
26734148	100	86	0	1	
26734204	63	71	0	0	
26734791	92	28	1	1	
26736110	66	5	0	1	
26736607	119	43	1	0	
26736814	84	94	0	0	
26737008	57	86	0	1	
26737403	21	28	1	0	
26737405	21	28	1	0	
26737948	77	22	1	0	
26737949	77	22	1	0	
26738080	0	114	0	0	
26738081	0	114	0	0	
1456322264960679	-1	-1	-1	-1
26738136	97	98	0	1	
26738150	77	103	1	0	
26738326	56	86	0	1	
26738508	67	5	0	1	
26738531	58	86	0	1	
26738714	107	29	1	1	
