#time	x	y	parity	Id
#time stamps of events with x = y = par = id =-1 have us since epoch as timestamp for synching reasons
#the corresponding DVS timestamp is the one BEFORE the epoch time event
1456322310051626	-1	-1	-1	-1
1456322327940428	-1	-1	-1	-1
18283018	84	30	0	1	
18283217	91	88	1	1	
18283219	76	88	1	1	
18283401	115	68	0	0	
18283512	61	43	0	0	
18283713	64	77	0	0	
18283725	73	30	0	1	
18283878	86	55	0	0	
18284067	101	31	0	1	
18284186	100	102	1	0	
18284256	108	44	0	0	
18284513	94	102	1	0	
18284901	64	111	1	0	
18284952	95	88	1	1	
18285061	102	59	0	1	
18285343	66	88	1	1	
18285612	14	100	0	1	
18285824	64	42	0	0	
18286098	53	101	1	0	
18286111	99	88	1	1	
18286112	99	88	1	1	
18286235	76	43	0	0	
18286482	62	43	0	0	
18286517	95	102	1	0	
18286527	67	42	0	0	
18286697	112	32	0	1	
18286702	30	94	0	0	
18286715	84	89	0	0	
18286721	109	88	1	1	
18286979	112	100	0	0	
18287090	86	43	0	0	
18287098	16	96	0	0	
18287308	35	123	1	0	
18287357	99	92	1	1	
18287380	113	32	0	1	
18287387	80	43	0	0	
18287524	99	45	0	0	
18287594	110	101	1	0	
18287802	80	71	0	1	
18287901	103	88	1	1	
18287968	62	88	1	1	
18288134	29	61	0	1	
18288171	76	62	0	1	
18288264	124	11	0	0	
18288280	43	94	1	0	
18288722	82	4	0	0	
18288769	64	88	1	1	
18288783	99	44	0	0	
18289055	106	101	1	0	
18289165	31	61	0	1	
18289176	68	42	0	0	
18289402	80	88	1	1	
18289472	50	29	0	1	
18289577	100	30	0	1	
18289661	71	43	0	0	
18289917	81	43	0	0	
18289918	81	43	0	0	
18289964	78	40	0	1	
18290177	118	32	0	1	
18290254	79	29	0	1	
18290388	68	99	0	0	
18290588	99	102	1	0	
1456322328341161	-1	-1	-1	-1
18290788	97	39	0	1	
18291135	95	30	0	1	
18291436	97	102	1	0	
18291483	97	88	1	1	
18291542	57	31	0	1	
18291699	121	46	0	0	
18291735	51	109	0	1	
18291794	58	88	1	1	
18291795	58	88	1	1	
18291918	99	43	0	0	
18292579	58	87	1	1	
18292651	92	97	0	1	
18292677	97	31	0	1	
18292765	46	65	0	0	
18292910	118	32	0	1	
18292911	118	32	0	1	
18293440	122	87	0	1	
18293441	122	87	0	1	
18293945	47	39	0	1	
18294051	94	43	0	0	
18294065	50	50	0	0	
18294565	89	102	1	0	
18294688	107	88	1	1	
18295055	84	103	1	0	
18295090	67	29	0	1	
18295244	90	30	0	1	
18295311	83	23	0	1	
18295782	102	89	1	1	
18295783	102	89	1	1	
18296666	63	88	1	1	
18296811	64	102	1	0	
18296818	64	85	0	0	
18296845	120	39	0	1	
18297222	113	100	0	0	
18297226	85	31	0	0	
18297509	65	82	0	1	
